Client;Instantiation name;Phishing trick name;Source EML File;Evaluation Screenshots Path;Infos;Type of assistance;Interaction required to get complete and correct info;Crititcallity;Critically-code;Type of technique
Android_Outlook;3.2_Sender_Name-Spoofing;2. Sender-Name Spoofing;A02-Sender-Sender-Name-Spoofing.json.eml;8. Sender-Name Spoofing;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Sender
Android_SamsungMail;3.2_Sender_Name-Spoofing;2. Sender-Name Spoofing;A02-Sender-Sender-Name-Spoofing.json.eml;7. Sender-Name Spoofing;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Sender
iOS_AppleMail;3.2_Sender_Name-Spoofing;2. Sender-Name Spoofing;A02-Sender-Sender-Name-Spoofing.json.eml;2. Sender-Name Spoofing;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Sender
iOS_Gmail;3.2_Sender_Name-Spoofing;2. Sender-Name Spoofing;A02-Sender-Sender-Name-Spoofing.json.eml;3. Sender-Name Spoofing;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Sender
iOS_Outlook;3.2_Sender_Name-Spoofing;2. Sender-Name Spoofing;A02-Sender-Sender-Name-Spoofing.json.eml;4. Sender-Name Spoofing;both;none;yes_misleading-first;4;both.none.yes_misleading-first;Sender
Android_Gmail;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;yes;4;misleading.none.yes;Sender
Android_Outlook;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;no;4;misleading.none.no;Sender
Android_Proton;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;no;4;misleading.none.no;Sender
Android_SamsungMail;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;none;none;no;4;none.none.no;Sender
iOS_AppleMail;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;no;4;misleading.none.no;Sender
iOS_Gmail;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;yes;4;misleading.none.yes;Sender
iOS_Outlook;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;no;4;misleading.none.no;Sender
iOS_Proton;3.17_Right_to_Left_Override-sender-utf;17. Right-to-Left-Override;A31.1-Sender-Right-to-Left-Override-utf.json.eml;17. Right-to-Left-Override/sender/utf;misleading;none;no;4;misleading.none.no;Sender
Android_Gmail;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;yes;1;correct.none.yes;Sender
Android_Outlook;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;no;1;correct.none.no;Sender
Android_Proton;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;no;1;correct.none.no;Sender
Android_SamsungMail;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;no;1;correct.none.no;Sender
iOS_AppleMail;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;yes;1;correct.none.yes;Sender
iOS_Gmail;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;yes;1;correct.none.yes;Sender
iOS_Outlook;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;no;1;correct.none.no;Sender
iOS_Proton;3.17_Right_to_Left_Override-sender-punycode;17. Right-to-Left-Override;A31.2-Sender-Right-to-Left-Override-punycode.json.eml;17. Right-to-Left-Override/sender/punycode;correct;none;no;1;correct.none.no;Sender
Android_Gmail;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
Android_Outlook;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
Android_Proton;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
iOS_AppleMail;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
iOS_Gmail;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
iOS_Outlook;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
iOS_Proton;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;correct;none;no;1;correct.none.no;Attachment
Android_SamsungMail;3.17_Right_to_Left_Override-attm;17. Right-to-Left-Override;A33-Attm-Right-to-Left-Override.json.eml;17. Right-to-Left-Override/attm;none;none;no;4;none.none.no;Attachment
iOS_AppleMail;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;correct;none;yes;1;correct.none.yes;Sender
Android_Gmail;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;misleading;none;yes;4;misleading.none.yes;Sender
Android_Outlook;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;misleading;none;no;4;misleading.none.no;Sender
Android_Proton;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;misleading;none;no;4;misleading.none.no;Sender
Android_SamsungMail;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;none;none;no;4;none.none.no;Sender
iOS_Gmail;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;misleading;none;yes;4;misleading.none.yes;Sender
iOS_Outlook;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;misleading;none;no;4;misleading.none.no;Sender
iOS_Proton;3.16_Homographic_Spoofing-sender-utf;16. Homographic Spoofing;A20.1-Sender-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/sender/utf;misleading;none;no;4;misleading.none.no;Sender
Android_Outlook;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;correct;none;no;1;correct.none.no;Sender
Android_Proton;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;correct;none;no;1;correct.none.no;Sender
Android_SamsungMail;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;correct;none;no;1;correct.none.no;Sender
iOS_AppleMail;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;correct;none;yes;1;correct.none.yes;Sender
iOS_Outlook;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;correct;none;no;1;correct.none.no;Sender
iOS_Proton;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;correct;none;no;1;correct.none.no;Sender
Android_Gmail;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;misleading;none;yes;4;misleading.none.yes;Sender
iOS_Gmail;3.16_Homographic_Spoofing-sender-punycode;16. Homographic Spoofing;A20.2-Sender-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/sender/punycode;misleading;none;yes;4;misleading.none.yes;Sender
Android_Gmail;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;correct;none;yes;1;correct.none.yes;Link
Android_Outlook;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;correct;none;yes;1;correct.none.yes;Link
Android_Proton;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;correct;none;yes;1;correct.none.yes;Link
iOS_Proton;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;correct;none;yes;1;correct.none.yes;Link
iOS_AppleMail;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;none;none;no;4;none.none.no;Link
iOS_Gmail;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;none;none;no;4;none.none.no;Link
iOS_Outlook;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;none;none;no;4;none.none.no;Link
Android_SamsungMail;3.16_Homographic_Spoofing-link-utf;16. Homographic Spoofing;A21.1-Link-Non-Ascii-Characters-utf.json.eml;16. Homographic Spooffing/link/utf;correct;none;yes;1;correct.none.yes;Link
Android_Gmail;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;correct;none;yes;1;correct.none.yes;Link
Android_Outlook;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;correct;none;yes;1;correct.none.yes;Link
Android_Proton;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;correct;none;yes;1;correct.none.yes;Link
Android_SamsungMail;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;correct;none;yes;1;correct.none.yes;Link
iOS_Proton;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;correct;none;yes;1;correct.none.yes;Link
iOS_AppleMail;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;none;none;no;4;none.none.no;Link
iOS_Gmail;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;none;none;no;4;none.none.no;Link
iOS_Outlook;3.16_Homographic_Spoofing-link-punycode;16. Homographic Spoofing;A21.2-Link-Non-Ascii-Characters-punycode.json.eml;16. Homographic Spooffing/link/punycode;none;none;no;4;none.none.no;Link
Android_Gmail;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
Android_Outlook;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
Android_Proton;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
Android_SamsungMail;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
iOS_AppleMail;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
iOS_Gmail;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
iOS_Outlook;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
iOS_Proton;3.14_Double_File_Extension;14. Double File-Extension;A14-Attm-Double-File-Extension.json.eml;14. Double File-Extension;both;none;no;2;both.none.no;Attachment
Android_Gmail;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;both;none;yes_same;2;both.none.yes_same;Link
Android_Outlook;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;both;none;yes_same;2;both.none.yes_same;Link
Android_Proton;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;both;none;yes_same;2;both.none.yes_same;Link
Android_SamsungMail;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;both;none;yes_same;2;both.none.yes_same;Link
iOS_Proton;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;both;none;yes_same;2;both.none.yes_same;Link
iOS_AppleMail;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;none;none;no;4;none.none.no;Link
iOS_Gmail;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;none;none;no;4;none.none.no;Link
iOS_Outlook;3.13_URL_Userinfo_Field;13. URL Userinfo Field;A13-Link-URL-Userinfo-Field.json.eml;13. URL Userinfo Field;none;none;no;4;none.none.no;Link
